price,date
16930,2000-01-03
15851,2000-01-04
16245,2000-01-05
16107,2000-01-06
16309,2000-01-07
17022,2000-01-10
16573,2000-01-11
16617,2000-01-12
17298,2000-01-13
17658,2000-01-14
18053,2000-01-17
17903,2000-01-18
17470,2000-01-19
17177,2000-01-20
17034,2000-01-21
16972,2000-01-24
17105,2000-01-26
17081,2000-01-27
16734,2000-01-28
16388,2000-01-31
16522,2000-02-01
16868,2000-02-02
17457,2000-02-03
17932,2000-02-04
18126,2000-02-07
18686,2000-02-08
18361,2000-02-09
18604,2000-02-10
18083,2000-02-11
17819,2000-02-14
17921,2000-02-15
18112,2000-02-16
17979,2000-02-17
17625,2000-02-18
17700,2000-02-21
17489,2000-02-22
17833,2000-02-23
17776,2000-02-24
17787,2000-02-25
17543,2000-02-28
17660,2000-02-29
17953,2000-03-01
18016,2000-03-02
18632,2000-03-03
18283,2000-03-08
18650,2000-03-09
18280,2000-03-10
17595,2000-03-13
17222,2000-03-14
17382,2000-03-15
17642,2000-03-16
17511,2000-03-17
17526,2000-03-20
18343,2000-03-21
18314,2000-03-22
18331,2000-03-23
18675,2000-03-24
18951,2000-03-27
18338,2000-03-28
18053,2000-03-29
17647,2000-03-30
17820,2000-03-31
17245,2000-04-03
16758,2000-04-04
16714,2000-04-05
17146,2000-04-06
17514,2000-04-07
16783,2000-04-10
16539,2000-04-11
16323,2000-04-12
15501,2000-04-13
14794,2000-04-14
14816,2000-04-17
15408,2000-04-18
14926,2000-04-19
15203,2000-04-20
14794,2000-04-24
15401,2000-04-25
15446,2000-04-26
15440,2000-04-27
15538,2000-04-28
15524,2000-05-02
15109,2000-05-03
14970,2000-05-04
15218,2000-05-05
14891,2000-05-08
14582,2000-05-09
14434,2000-05-10
14499,2000-05-11
14459,2000-05-12
15056,2000-05-15
15360,2000-05-16
14871,2000-05-17
14627,2000-05-18
14327,2000-05-19
13891,2000-05-22
13587,2000-05-23
14166,2000-05-24
14186,2000-05-25
14542,2000-05-26
14773,2000-05-29
15249,2000-05-30
14957,2000-05-31
15450,2000-06-01
16222,2000-06-02
16023,2000-06-05
15947,2000-06-06
16272,2000-06-07
16399,2000-06-08
16342,2000-06-09
16097,2000-06-12
16354,2000-06-13
16366,2000-06-14
16561,2000-06-15
16425,2000-06-16
16850,2000-06-19
16844,2000-06-20
17254,2000-06-21
16977,2000-06-23
16745,2000-06-26
16512,2000-06-27
16842,2000-06-28
16407,2000-06-29
16728,2000-06-30
17089,2000-07-03
17279,2000-07-04
17135,2000-07-05
17348,2000-07-06
17599,2000-07-07
17472,2000-07-10
16881,2000-07-11
17053,2000-07-12
16444,2000-07-13
16881,2000-07-14
17388,2000-07-17
17369,2000-07-18
16928,2000-07-19
17204,2000-07-20
17318,2000-07-21
17386,2000-07-24
17049,2000-07-25
17121,2000-07-26
16949,2000-07-27
16486,2000-07-28
16455,2000-07-31
16290,2000-08-01
16314,2000-08-02
16721,2000-08-03
16761,2000-08-04
16996,2000-08-07
16885,2000-08-08
16534,2000-08-09
16835,2000-08-10
17395,2000-08-11
17811,2000-08-14
17744,2000-08-15
17331,2000-08-16
17703,2000-08-17
17314,2000-08-18
17083,2000-08-21
17224,2000-08-22
17450,2000-08-23
17311,2000-08-24
17643,2000-08-25
17460,2000-08-28
17355,2000-08-29
17414,2000-08-30
17347,2000-08-31
17577,2000-09-01
17613,2000-09-04
17425,2000-09-05
17590,2000-09-06
17433,2000-09-08
17288,2000-09-11
16883,2000-09-12
16999,2000-09-13
16769,2000-09-14
16563,2000-09-15
15913,2000-09-18
16188,2000-09-19
16078,2000-09-20
16146,2000-09-21
16353,2000-09-22
16319,2000-09-25
16255,2000-09-26
15848,2000-09-27
16014,2000-09-28
15928,2000-09-29
15559,2000-10-02
15633,2000-10-03
15876,2000-10-04
16362,2000-10-05
15946,2000-10-06
15855,2000-10-09
15747,2000-10-10
15526,2000-10-11
15385,2000-10-13
15242,2000-10-16
14870,2000-10-17
14421,2000-10-18
14845,2000-10-19
14529,2000-10-20
13990,2000-10-23
13799,2000-10-24
13665,2000-10-25
14223,2000-10-26
14692,2000-10-27
14891,2000-10-30
14867,2000-10-31
14791,2000-11-01
14534,2000-11-03
14801,2000-11-06
14969,2000-11-07
14656,2000-11-08
14524,2000-11-09
14626,2000-11-10
14372,2000-11-13
14540,2000-11-14
14490,2000-11-16
14323,2000-11-17
14500,2000-11-20
14784,2000-11-21
14577,2000-11-22
14314,2000-11-23
14336,2000-11-24
14008,2000-11-27
13914,2000-11-28
13788,2000-11-29
13287,2000-11-30
13437,2000-12-01
13510,2000-12-04
14182,2000-12-05
13945,2000-12-06
14460,2000-12-07
14983,2000-12-08
15188,2000-12-11
14906,2000-12-12
15291,2000-12-13
15259,2000-12-14
14988,2000-12-15
15083,2000-12-18
15336,2000-12-19
14622,2000-12-20
14505,2000-12-21
14652,2000-12-22
14795,2000-12-26
15186,2000-12-27
15259,2000-12-28
15425,2001-01-02
16599,2001-01-03
16675,2001-01-04
16410,2001-01-05
16562,2001-01-08
16976,2001-01-09
16919,2001-01-10
17024,2001-01-11
16850,2001-01-12
16963,2001-01-15
16721,2001-01-16
17191,2001-01-17
17521,2001-01-18
17530,2001-01-19
17392,2001-01-22
17832,2001-01-23
17772,2001-01-24
17889,2001-01-26
17883,2001-01-29
17723,2001-01-30
17673,2001-01-31
17039,2001-02-01
16915,2001-02-02
16731,2001-02-05
17007,2001-02-06
16812,2001-02-07
17243,2001-02-08
17138,2001-02-09
16917,2001-02-12
17096,2001-02-13
17120,2001-02-14
16937,2001-02-15
16259,2001-02-16
16061,2001-02-19
15911,2001-02-20
15594,2001-02-21
15910,2001-02-22
16158,2001-02-23
15891,2001-02-28
16417,2001-03-01
16581,2001-03-02
16537,2001-03-05
16324,2001-03-06
16395,2001-03-07
16227,2001-03-08
16123,2001-03-09
15527,2001-03-12
15584,2001-03-13
15245,2001-03-14
15061,2001-03-15
15237,2001-03-16
14836,2001-03-19
14903,2001-03-20
14853,2001-03-21
14067,2001-03-22
14435,2001-03-23
14712,2001-03-26
14835,2001-03-27
14632,2001-03-28
14282,2001-03-29
14438,2001-03-30
13981,2001-04-02
13737,2001-04-03
13855,2001-04-04
14443,2001-04-05
14485,2001-04-06
14719,2001-04-09
15048,2001-04-10
14819,2001-04-11
14969,2001-04-12
14445,2001-04-16
14337,2001-04-17
14955,2001-04-18
14431,2001-04-19
13696,2001-04-20
13893,2001-04-23
14068,2001-04-24
14163,2001-04-25
14757,2001-04-26
14928,2001-04-27
14918,2001-04-30
14897,2001-05-02
15142,2001-05-03
15093,2001-05-04
14875,2001-05-07
14747,2001-05-08
14779,2001-05-09
14993,2001-05-10
14493,2001-05-11
14237,2001-05-14
14226,2001-05-15
14714,2001-05-16
14794,2001-05-17
14884,2001-05-18
15128,2001-05-21
14829,2001-05-22
14692,2001-05-23
14523,2001-05-24
14310,2001-05-25
14302,2001-05-28
14454,2001-05-29
14489,2001-05-30
14650,2001-05-31
14792,2001-06-01
15104,2001-06-04
15395,2001-06-05
15329,2001-06-06
15464,2001-06-07
15366,2001-06-08
15224,2001-06-11
15173,2001-06-12
15403,2001-06-13
14985,2001-06-15
14355,2001-06-18
14401,2001-06-19
14571,2001-06-20
14823,2001-06-21
14682,2001-06-22
14540,2001-06-25
14460,2001-06-26
14308,2001-06-27
14391,2001-06-28
14560,2001-06-29
14555,2001-07-02
14353,2001-07-03
14056,2001-07-04
14048,2001-07-05
13907,2001-07-06
13570,2001-07-10
13812,2001-07-11
13916,2001-07-12
14078,2001-07-13
13811,2001-07-16
14169,2001-07-17
