price,date,ticker
736.67377,2010-01-01,ABEV3.SA
764.14251,2010-01-04,ABEV3.SA
768.63748,2010-01-05,ABEV3.SA
776.47877,2010-01-06,ABEV3.SA
780.12502,2010-01-07,ABEV3.SA
778.62626,2010-01-08,ABEV3.SA
769.13625,2010-01-11,ABEV3.SA
774.13124,2010-01-12,ABEV3.SA
784.12002,2010-01-13,ABEV3.SA
795.35753,2010-01-14,ABEV3.SA
794.00873,2010-01-15,ABEV3.SA
794.10875,2010-01-18,ABEV3.SA
795.25751,2010-01-19,ABEV3.SA
777.67748,2010-01-20,ABEV3.SA
783.86998,2010-01-21,ABEV3.SA
794.10875,2010-01-22,ABEV3.SA
794.10875,2010-01-25,ABEV3.SA
780.07501,2010-01-26,ABEV3.SA
771.78377,2010-01-27,ABEV3.SA
772.88252,2010-01-28,ABEV3.SA
749.15874,2010-01-29,ABEV3.SA
756.65122,2010-02-01,ABEV3.SA
775.12997,2010-02-02,ABEV3.SA
786.61752,2010-02-03,ABEV3.SA
754.15373,2010-02-04,ABEV3.SA
726.68499,2010-02-05,ABEV3.SA
719.1925,2010-02-08,ABEV3.SA
717.04501,2010-02-09,ABEV3.SA
721.74001,2010-02-10,ABEV3.SA
739.17001,2010-02-11,ABEV3.SA
734.87502,2010-02-12,ABEV3.SA
734.87502,2010-02-15,ABEV3.SA
734.87502,2010-02-16,ABEV3.SA
770.63501,2010-02-17,ABEV3.SA
765.44124,2010-02-18,ABEV3.SA
768.23747,2010-02-19,ABEV3.SA
764.79125,2010-02-22,ABEV3.SA
744.165,2010-02-23,ABEV3.SA
743.16627,2010-02-24,ABEV3.SA
751.45626,2010-02-25,ABEV3.SA
744.81374,2010-02-26,ABEV3.SA
753.65376,2010-03-01,ABEV3.SA
749.15874,2010-03-02,ABEV3.SA
751.65623,2010-03-03,ABEV3.SA
744.115,2010-03-04,ABEV3.SA
733.67625,2010-03-05,ABEV3.SA
737.67251,2010-03-08,ABEV3.SA
730.62998,2010-03-09,ABEV3.SA
736.57376,2010-03-10,ABEV3.SA
739.17001,2010-03-11,ABEV3.SA
734.17628,2010-03-12,ABEV3.SA
732.67752,2010-03-15,ABEV3.SA
734.82502,2010-03-16,ABEV3.SA
736.67377,2010-03-17,ABEV3.SA
738.17128,2010-03-18,ABEV3.SA
709.20378,2010-03-19,ABEV3.SA
711.70127,2010-03-22,ABEV3.SA
708.20498,2010-03-23,ABEV3.SA
702.86125,2010-03-24,ABEV3.SA
711.60126,2010-03-25,ABEV3.SA
709.10376,2010-03-26,ABEV3.SA
703.61,2010-03-29,ABEV3.SA
710.30247,2010-03-30,ABEV3.SA
689.37624,2010-03-31,ABEV3.SA
690.42498,2010-04-01,ABEV3.SA
690.42498,2010-04-02,ABEV3.SA
703.85998,2010-04-05,ABEV3.SA
699.01502,2010-04-06,ABEV3.SA
705.15877,2010-04-07,ABEV3.SA
701.71249,2010-04-08,ABEV3.SA
706.70623,2010-04-09,ABEV3.SA
711.70127,2010-04-12,ABEV3.SA
719.1925,2010-04-13,ABEV3.SA
